	_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_
ngrams	0.8277858176555716	0.7272727272727273	0.4	0.4	0.2857142857142857	0.7922077922077922	0.6153846153846153	0.8607594936708861	0.0
ffn	0.6509316770186335	0.0	0.0	0.0784313725490196	0.0	0.0	0.0	0.0842105263157894	0.0
rnn	0.5108695652173914	0.0	0.2352941176470588	0.0	0.0222222222222222	0.0	0.0	0.0	0.0
gru	0.328421052631579	0.0	0.3529411764705882	0.0	0.0	0.0	0.0343980343980344	0.0273972602739726	0.0
cnn	0.5722891566265061	0.0	0.1166666666666666	0.0	0.0	0.0	0.0	0.1198501872659175	0.0
gbert	0.6666666666666666	0.0	0.0	0.0	0.0	0.7999999999999999	0.0	0.90625	0.0
byt5	0.9483568075117372	0.0	0.0	0.6956521739130436	0.7999999999999999	0.7751937984496124	0.5	0.6451612903225806	0.761904761904762
llama-instruct-base	0.9310344827586206	0.5454545454545454	1.0	0.5454545454545455	0.5333333333333333	0.917808219178082	0.3636363636363636	0.9482071713147412	0.7368421052631579
llama-instruct+cand	0.9006410256410257	0.4444444444444445	0.6666666666666666	0.6956521739130436	0.5555555555555556	0.9324324324324323	0.9411764705882352	0.975609756097561	0.7272727272727272
llama-instruct+cand+par	0.9044585987261148	0.6	1.0	0.6956521739130436	0.5000000000000001	0.9324324324324323	0.9411764705882352	0.9543568464730292	0.631578947368421
