	common	infrequent	hapax_legomena	allomorphic_fc	invented
ngrams	0.6747967479674797	0.753968253968254	0.375	0.3529411764705882	0.1914893617021276
ffn	0.005420054200542	0.0	0.0	0.0	0.0
rnn	0.048780487804878	0.0238095238095238	0.03125	0.0	0.0425531914893617
gru	0.0	0.0	0.0	0.0	0.0
cnn	0.002710027100271	0.0158730158730158	0.03125	0.0	0.0212765957446808
gbert	0.6260162601626016	0.5079365079365079	0.28125	0.3529411764705882	0.3404255319148936
byt5	0.7859078590785907	0.5952380952380952	0.40625	0.8823529411764706	0.7021276595744681
llama-instruct-base	0.9214092140921408	0.8174603174603174	0.46875	0.8823529411764706	0.7659574468085106
llama-instruct+cand	0.8970189701897019	0.7698412698412699	0.5	0.9411764705882352	0.723404255319149
llama-instruct+cand+par	0.902439024390244	0.7857142857142857	0.5	0.9411764705882352	0.7872340425531915
