	common	infrequent	hapax_legomena	allomorphic_fc	invented
ngrams	0.2636686444823951	0.7187624768564826	0.3943325861199324	0.0882061001936886	0.1371964464852239
ffn	0.0006851631535749	0.0	0.0	0.0	0.0
rnn	0.0057501667192427	0.0038111243423489	0.0082940030364477	0.0	0.0109441475813716
gru	0.0	0.0	0.0	0.0	0.0
cnn	0.0010659938632553	0.005598829673751	0.0082940030364477	0.0	0.2643859355451644
gbert	0.1118095101658837	0.1500842345948762	0.2318267906023715	0.0882061001936886	0.1726668832909433
byt5	0.5355420775645433	0.4193225724209027	0.2565039038606583	0.6877261725187194	0.6538723762473474
llama-instruct-base	0.843456698658815	0.4335956476314529	0.2471929170421718	0.8371517525489703	0.8823495567699999
llama-instruct+cand	0.8170980709941782	0.5444527247790795	0.3588288272695196	0.8438630862593597	0.9114281390158652
llama-instruct+cand+par	0.9162370005290048	0.502314949708322	0.3666309464874224	0.8438630862593597	0.9378008947947146
