	common	infrequent	hapax_legomena	allomorphic_fc	invented
ngrams	0.1998523070802458	0.6451912890612688	0.3001526431551465	0.072482404072205	0.0849957846339217
ffn	0.0003457101756622	0.0	0.0	0.0	0.0
rnn	0.00311139158096	0.0019896310904909	0.0044234682861054	0.0	0.0060192811697544
gru	0.0	0.0	0.0	0.0	0.0
cnn	0.0005392674837644	0.0028915579742654	0.0044234682861054	0.0	0.2643859355451644
gbert	0.0966823165574183	0.1399930648560686	0.2075787739124246	0.072482404072205	0.1385157225020648
byt5	0.4549565163516119	0.355311621643939	0.1930500366484286	0.6877261725187194	0.6061272637074022
llama-instruct-base	0.7607797254349163	0.3758618623277959	0.2104196742583172	0.8317826855806589	0.8372791628602371
llama-instruct+cand	0.7428253906479576	0.4683227362761208	0.294146606928828	0.8438630862593597	0.882173012882531
llama-instruct+cand+par	0.857293261320328	0.4665188825085719	0.310257912133037	0.8438630862593597	0.8912019346371626
