	common	infrequent	hapax_legomena	allomorphic_fc	invented
ngrams	0.8225806451612904	0.8604651162790697	0.6363636363636364	0.4117647058823529	0.425531914893617
ffn	0.478494623655914	0.4651162790697674	0.3636363636363636	0.2352941176470588	0.3829787234042553
rnn	0.2553763440860215	0.2325581395348837	0.2727272727272727	0.2352941176470588	0.1914893617021276
gru	0.1532258064516129	0.1240310077519379	0.2121212121212121	0.1176470588235294	0.1702127659574468
cnn	0.3924731182795699	0.3333333333333333	0.3636363636363636	0.1176470588235294	0.2127659574468085
gbert	0.6505376344086021	0.5426356589147286	0.3333333333333333	0.3529411764705882	0.4468085106382978
byt5	0.7903225806451613	0.5891472868217055	0.5454545454545454	0.8823529411764706	0.7872340425531915
llama-instruct-base	0.9166666666666666	0.7984496124031008	0.4848484848484848	0.8823529411764706	0.8085106382978723
llama-instruct+comp	0.9059139784946236	0.8217054263565892	0.5454545454545454	0.9411764705882352	0.8297872340425532
llama-instruct+comp+par	0.8440860215053764	0.7596899224806202	0.4545454545454545	0.8823529411764706	0.851063829787234
