	_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_
ngrams	0.768361581920904	0.7272727272727273	0.4	0.4210526315789474	0.3076923076923077	0.7777777777777778	0.6153846153846153	0.8986784140969163	0.0
ffn	0.0121580547112462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnn	0.1367521367521367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gru	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cnn	0.0121580547112462	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0314960629921259	0.0
gbert	0.6570841889117044	0.0	0.0	0.0	0.0	0.7874015748031497	0.0	0.9626556016597512	0.0
byt5	0.9434571890145396	0.0	0.0	0.6956521739130436	0.8421052631578948	0.768	0.5	0.6486486486486487	0.7368421052631579
llama-instruct-base	0.9502407704654896	0.6	1.0	0.5714285714285715	0.5333333333333333	0.9154929577464788	0.3636363636363636	0.9754098360655736	0.6666666666666666
llama-instruct+cand	0.91	0.4444444444444445	0.6666666666666666	0.6956521739130436	0.625	0.9305555555555556	0.9411764705882352	0.979591836734694	0.7368421052631579
llama-instruct+cand+par	0.9261083743842364	0.6	1.0	0.6956521739130436	0.5333333333333333	0.9305555555555556	0.9411764705882352	0.9583333333333334	0.6666666666666666
