	common	infrequent	hapax_legomena	allomorphic_fc	invented
ngrams	0.6693548387096774	0.7364341085271318	0.36363636363636365	0.35294117647058826	0.19148936170212766
ffn	0.005376344086021506	0.0	0.0	0.0	0.0
rnn	0.04838709677419355	0.023255813953488372	0.030303030303030304	0.0	0.0425531914893617
gru	0.0	0.0	0.0	0.0	0.0
cnn	0.002688172043010753	0.015503875968992248	0.030303030303030304	0.0	0.02127659574468085
gbert	0.6209677419354839	0.49612403100775193	0.2727272727272727	0.35294117647058826	0.3404255319148936
byt5	0.7795698924731183	0.5813953488372093	0.3939393939393939	0.8823529411764706	0.7021276595744681
llama-instruct-base	0.9139784946236559	0.7984496124031008	0.45454545454545453	0.8823529411764706	0.7659574468085106
llama-instruct+cand	0.9032258064516129	0.8217054263565892	0.5151515151515151	0.9411764705882353	0.7872340425531915
llama-instruct+cand+par	0.8413978494623656	0.7596899224806202	0.42424242424242425	0.8823529411764706	0.8085106382978723
