	common	infrequent	hapax_legomena	allomorphic_fc	invented
ngrams	0.8279569892473119	0.8604651162790697	0.6666666666666666	0.4117647058823529	0.425531914893617
ffn	0.5268817204301075	0.4883720930232558	0.5151515151515151	0.2352941176470588	0.5106382978723404
rnn	0.5080645161290323	0.4806201550387597	0.5454545454545454	0.4705882352941176	0.4893617021276595
gru	0.4059139784946236	0.3798449612403101	0.5151515151515151	0.6470588235294118	0.425531914893617
cnn	0.4462365591397849	0.4108527131782946	0.5454545454545454	0.2352941176470588	0.3617021276595745
gbert	0.6639784946236559	0.5658914728682171	0.3939393939393939	0.3529411764705882	0.4468085106382978
byt5	0.7903225806451613	0.5891472868217055	0.5757575757575758	0.8823529411764706	0.7872340425531915
llama-instruct-base	0.922043010752688	0.8217054263565892	0.5454545454545454	0.8823529411764706	0.8085106382978723
llama-instruct+comp	0.9112903225806452	0.8449612403100775	0.6060606060606061	0.9411764705882352	0.8297872340425532
llama-instruct+comp+par	0.8467741935483871	0.7829457364341085	0.5151515151515151	0.8823529411764706	0.851063829787234
